User Name,Handle,TimeStamp,Text,Like,Retweets
RITA,@gnarlyrita,2021-11-03T20:22:34.000Z,"RITA
@gnarlyrita
·
14s
trade post is fixed in New World. I will be live later on today :D",,0,
FaRyaL TariQ,@FaRyaLTariQ143,2021-11-03T20:22:33.000Z,"FaRyaL TariQ
@FaRyaLTariQ143
·
15s
#fixed
#INDvsAFG
Well Paid India.... 
#shameonteamindia
Fiaz Khattak
@Fiaz_Khattak_
 · 3h
Well Paid India 
#fixers #fixing #fixed #fixedmatch #T20WorldCup #INDvAFG #indiancricket #INDvsAFG",,0,
FaRyaL TariQ,@FaRyaLTariQ143,2021-11-03T20:22:33.000Z,"FaRyaL TariQ
@FaRyaLTariQ143
·
24s
#fixed
#INDvsAFG
Well Paid India.... 
#shameonteamindia
Fiaz Khattak
@Fiaz_Khattak_
 · 3h
Well Paid India 
#fixers #fixing #fixed #fixedmatch #T20WorldCup #INDvAFG #indiancricket #INDvsAFG",,0,
,@rnoyfb,2021-11-03T20:22:33.000Z,"@rnoyfb
·
24s
Replying to 
@BertAW_Russell
 @riccardoffff
 and 
@AwayBerk
Schools are not fixed distances apart and their physical capacity is always much larger than any reasonable estimate of their teaching capacity. Nobody’s suggesting to violate the fire code to force more people in and that would be a huge disincentive against choosing a school",,0,
Paul Aebischer,@AebischerPaul,2021-11-03T20:22:32.000Z,"Paul Aebischer
@AebischerPaul
·
25s
Replying to 
@ImSpeaking13
I saw YouTube videos of boxes being moved from one place to another.  Totally fixed I tell you!",,0,
bishop (they/he),@biancasforza_,2021-11-03T20:22:30.000Z,"bishop (they/he)
@biancasforza_
·
27s
they finally fixed our heat and now i’m hot  i wanna be chilly again",,0,
Jainam Parekh,@JainamParekh5,2021-11-03T20:22:29.000Z,"Jainam Parekh
@JainamParekh5
·
28s
@ARYNEWSOFFICIAL
 which has 
@YounusK75
 as a guest are doubting that the match between afg and ind was fixed i mean what level have this ppl come dwn to? Dear pakistan, we are nt one of u we play our cricket wid full integrity and ethics. Level badhao pakistan #India #Pakistan",,0,
Ashmoney,@AshtonG105,2021-11-03T20:22:28.000Z,"Ashmoney
@AshtonG105
·
29s
Replying to 
@awthentik
To me, Daniel Jones was set up to fail before he was even drafted. How we trade away a top 5 receiver the same year BEFORE we draft a QB. The offensive line has continued to not be fixed, players continue to get hurt. he’ll probably have to learn a new system.",,0,
Peter N.,@RepublikEnemy,2021-11-03T20:22:27.000Z,"Peter N.
@RepublikEnemy
·
30s
Fixed it the headline.. Derek Fisher ""accidentally"" calls Russell Westbrook ""Russell Westbrick""
NBA Central
@TheNBACentral
 · 13h
Derek Fisher accidentally calls Russell Westbrook ""Russell Westbrick""

(h/t @LakersDailyCom)",,0,
Princejani_143@gmail.com,Princejani_143@gmail.com,2021-11-03T20:22:26.000Z,"Princejani_143@gmail.com
@143Princejani
·
31s
Well Paid India

India & Afghanistan Cricket Match Was Fixed
Mother Fuckers
1",1,0,
Visheshta,@Vishi_jotwani,2021-11-03T20:22:26.000Z,"Visheshta
@Vishi_jotwani
·
31s
Jitne PAKISTANIS  champions trophy final aur 18 over me chase kiye hui jeet ko sochke khush ho rhe h  

Vo log ye dekho tumne to tab bhi 18 over me chase kiya.  Yha dekho  kitna bura haraya hai. 2 bar ek hi time pe kitne overs bache hai  
#INDvsAFG #fixerkings #fixed",,0,
Gulfam Mustafa,@gulfamnet,2021-11-03T20:22:25.000Z,"Gulfam Mustafa
@gulfamnet
·
32s
Winning a match is always better than buying a win. #fixed #IndiavsAfghanistan",,0,
𝓡𝓪𝓷𝓲𝓪,@raniii_iiix,2021-11-03T20:22:25.000Z,"𝓡𝓪𝓷𝓲𝓪
@raniii_iiix
·
32s
Replying to 
@theirepicloves
So stefan judging&saying she can't be a vampire,need to be fixed is okay but damon saying she's vampire so needs to feed is judgmental
for decisions why would anyone let someone he loves die
Did stefan let damon die when he wanted?No.
means he'd rather let elena die than hate him",,0,
usama khan,@Musama2113,2021-11-03T20:22:25.000Z,"usama khan
@Musama2113
·
32s
Replying to 
@cricketaakash
#fixed",,0,
Zia ur Rehman,@zaeesays,2021-11-03T20:22:24.000Z,"Zia ur Rehman
@zaeesays
·
33s
Well paid india  #WELLPAIDINDIA  #fixerkings #matchfixed #Shame #IndiavsAfghanistan #fixed
1",1,0,
tom,@tom91883192,2021-11-03T20:22:21.000Z,"tom
@tom91883192
·
36s
Replying to 
@GOP
 white supremacy.     There, fixed it for you.",,0,
A ب D U L,@_User__dead,2021-11-03T20:22:20.000Z,"A ب D U L
@_User__dead
·
37s
Itne hi paisy match seekhne k liye lagaty Tw aj jeetne k liye paisy na dene parhty Well Paid India
#fixed
#instagramdown
#RashidKhan
#Shame
1
1",,0,1
Abdul Rafay,@roy_rafay,2021-11-03T20:22:13.000Z,"Abdul Rafay
@roy_rafay
·
54s
I was wondering that why Asghar afghan took retirement ahead of two important matches against india and newzeland and now i can understand he didn’t want be a part of this fixed matches. 
#fixerkings #AFGvIND #RashidKhan
Asghar Afghan",,0,
فرهاد منصوري,@ferhadmansoori,2021-11-03T20:22:13.000Z,"فرهاد منصوري
@ferhadmansoori
·
54s
لوبه وبایلل شوه هغه هم ښه په لوړ توپیر، خو ښه کار په دې وشو چې د پنجاب چیچیان سخته په چیغارو او بوغارو دي، ستاسو غم که زمونږ په بایلاد کې وي هم مونږ ته قبول ده، تاسو دې تل په غمونو کې یاست.  
#fixed
#INDvsAFG",,0,
Moiz Zubair,@MoizZubair8096,2021-11-03T20:22:11.000Z,"Moiz Zubair
@MoizZubair8096
·
56s
#WELLPAIDINDIA  #fixed  #AFGVSIND
عامر خان
@Aamir_k2
 · 1h
1- Mujeeb droped
2- Qais and noor not played .
3- Nabi bowled only one over!
4- Rashid Khan bowling one over spells.
5- Afghan players dropping easy catches.
6- misfield and easy fours.
7- Bowlers giving too width to hit boundaries. 

Well paid India I mean well played.
#fixed",,0,
Noor,@grapeffruitt,2021-11-03T20:22:10.000Z,"Noor
@grapeffruitt
·
57s
Cheque dey, India 
 #INDvsAFG #fixed",,0,
Tovala,@tovalafood,2021-11-03T20:22:08.000Z,"Tovala
@tovalafood
·
59s
Replying to 
@syntruth
Hi Randy - Thank you for reaching out with app feedback. Our team found the bug last night, but it shouldn't be related to the update itself. It should be fixed now, but please reach out if you're still having issues.",,0,
RayleenGale,@rayleengale,2021-11-03T20:22:07.000Z,"RayleenGale
@rayleengale
·
1m
Replying to 
@GavinGeddes7
Was previously really painful with sciatica. But surgery fixed if. 
This current building disc just flares up occasionally, no down-the-leg nerve pain.
Exercise helps. ",,0,
Ok RAFAY,@CHAUDHRYo7,2021-11-03T20:22:07.000Z,"Ok RAFAY
@CHAUDHRYo7
·
1m
ITNA DAR OR BHAROSA NHI INDIA KO APNI TEAM PA AB AFGHANISTAN KO PAISE DEKA JEETNA PARAHA SHAM ON YOU .

#fixed
#INDvsAFG",,0,
muzammil ullah khan,@muzammil_ullah,2021-11-03T20:22:07.000Z,"muzammil ullah khan
@muzammil_ullah
·
1m
Of course it was fixed.
Dunya News
@DunyaNews
 · 2h
بھارت اور افغانستان کا میچ 'فکسڈ' ؟ٹوئٹر پر ٹاپ ٹرینڈ بن گیا http://urdu.dunyanews.tv/index.php/ur/Cricket/626988/…",,0,
Faraz,@FarazJaved77,2021-11-03T20:22:06.000Z,"Faraz
@FarazJaved77
·
1m
Replying to 
@KaKaR_101
 and 
@MaidahMuhammad
@ICC
  is Bull Shit, what will it do, rather what can it do ??? India Vs Afg match was totally fixed.",,0,
Javed Iqbal,@javiqbal09,2021-11-03T20:22:05.000Z,"Javed Iqbal
@javiqbal09
·
1m
Replying to 
@gb__markhor050
#fixed",,0,
Pakistani,@forexguide2018,2021-11-03T20:22:04.000Z,"Pakistani
@forexguide2018
·
1m
Replying to 
@shoaib100mph
Match fixed",,0,
jM Salaar,@jM_Salaar,2021-11-03T20:22:04.000Z,"jM Salaar
@jM_Salaar
·
1m
Well paid india well paid #fixed
1",1,0,
𝐒𝐚𝐝𝐝𝐚𝐫,@mrpre5ident,2021-11-03T20:22:03.000Z,"𝐒𝐚𝐝𝐝𝐚𝐫
@mrpre5ident
·
1m
Well paid India 
#fixed #fixedmatch 
#INDvsAFG #Afghanistan",,0,
waefamfilms,@Waefamfilms,2021-11-03T20:21:58.000Z,"waefamfilms
@Waefamfilms
·
1m
Manje abanye beza nama bus drive.. #instagramdown #2021MAMA #gomoramzansi #fixed
Auti eGrand
@Dj_Techzi
 · 4h
What we mean masithi hlanganisa abo cherry",,0,
Muhammad Arslan,@arsiihere,2021-11-03T20:21:57.000Z,"Muhammad Arslan
@arsiihere
·
1m
Replying to 
@by_anas_
 and 
@DennisCricket_
Ya nabi ki awaz ha waise 
Par match fixed hi tha 100%
1",,0,1
CoolSocialistGrandad election was fixed JC4PM,@cool_grandad,2021-11-03T20:21:56.000Z,"CoolSocialistGrandad election was fixed JC4PM
@cool_grandad
·
1m
Replying to 
@Moshepupik1
 @whywouldyou_uk
 and 48 others
I just thought I couldn't stand you mind but it's impossible. You are just full of s*** you couldn't even hold a conversation. One small candle you wouldn't even understand what that meant. Let's go Brandon and you go with him.",,0,
Areeba Habib,@AreebaHabiib,2021-11-03T20:21:55.000Z,"Areeba Habib
@AreebaHabiib
·
1m
100% fixed!",,0,
Salman Hassan,@SalmanHassan__,2021-11-03T20:21:55.000Z,"Salman Hassan
@SalmanHassan__
·
1m
Just because you have been praised alot in #India, you are trying to be kind to them. But we will call it a #fixedmatch always 
#fixed
Shoaib Akhtar
@shoaib100mph
 · 4m
Please stop talking about the match being pre-decided or doctored. Such things leave a bad taste. I am backing Afghanistan & India both. Lets see if any one of them pulls off a miracle & goes through. 

Full video: https://youtu.be/n3JqXyfNEos

#INDvsAFG #indiancricket
1:33
2.1K views",,0,
SUMEET KUMAR,@sumeetkumar2524,2021-11-03T20:21:55.000Z,"SUMEET KUMAR
@sumeetkumar2524
·
1m
#wellpaid  #wellplayed  #INDvsAFG #indiancricket 
Lol Pakistan's  Trying to Troll 
@BCCI
 and 
@ACBofficials
 with Tears  calling match as #fixed 
They're so Poor that they can't think anything else over money 
First their Players 
@iamamirofficial
 now their people cheap 
1",,0,1
م ا ئ د ہ,@MedoCh6,2021-11-03T20:21:54.000Z,"م ا ئ د ہ
@MedoCh6
·
1m
Well payed Indian team
Congratulations for winning in fixed match 

Well Paid India 
#INDvsAFG 
#fixed
1
2",,0,2
Battle @ MFF,Battle @ MFF,2021-11-03T20:21:53.000Z,"Battle @ MFF
@WolfOfTheOldWar
·
1m
Replying to 
@_Neffertity_
 @OrangeHounds
 and 
@TikTokSupport
I seriously hope this gets fixed. :<
1",,0,1
Dr John Chipman IISS,@chipmanj,2021-11-03T20:21:50.000Z,"Dr John Chipman IISS
@chipmanj
·
1m
Bottom line then: if it is that confusing, it should not be policy. On nuclear doctrine, as in life in general, perhaps best to let ‘sleeping dogs lie’. Is it really so broken that it needs to be ‘fixed’ in this way?
Eric Brewer
@BrewerEricM
 · 7h
This is a really fantastic discussion and I always learn a lot from the folks in the thread (who have thought about this far more than I). But every time I read these debates I keep thinking: I pity the poor State/DoD official that has to explain an SP policy to allies. twitter.com/nukestrat/stat…
Show this thread",,0,
Ã,@Ali_Lakhani_,2021-11-03T20:21:40.000Z,"Ã
@Ali_Lakhani_
·
1m
Afghan player right now 
#fixed
1",,0,1
Coniugator,@Vril_MuadDib,2021-11-03T20:21:39.000Z,"Coniugator
@Vril_MuadDib
·
1m
Replying to 
@michelle_byoung
 @la_chatte_verte
 and 
@kilday_morgan
Nazis fixed problems
1",,0,1
Brandon,@bigdaddyiris,2021-11-03T20:21:38.000Z,"Brandon
@bigdaddyiris
·
1m
Guys I fixed a huge performance issue with my PC so I’m gonna be streaming on twitch again ",,0,
AYAN GOSWAMI (লহৰ),@AYANGOSWAMI1,2021-11-03T20:21:37.000Z,"AYAN GOSWAMI (লহৰ)
@AYANGOSWAMI1
·
1m
Virat didn't prompt Nabi his decision. To all the idiots, plz watch the video closely till the end. It was Nabi who said, ""we'll bowl first"" to Virat. Virat responded ""yeah"". And that does not make any difference.
It's NOT A FIXED MATCH...idiots!!!!
#INDvsAFG #ICCT20WorldCup
0:31
1 view",,0,
John Heselev,@Heselev,2021-11-03T20:21:37.000Z,"John Heselev
@Heselev
·
1m
Replying to 
@zee_farmer
 and 
@AusNetServices
Wow! That’s a long time to be without electricity! Hope it’s fixed soon ",,0,
SHAHBAZ AKRAM,@SHAHBAZ75470118,2021-11-03T20:21:36.000Z,"SHAHBAZ AKRAM
@SHAHBAZ75470118
·
1m
#fixed #ICCT20WorldCup  #fixing #INDvsAFG #fixed Fixed Match hai ya
1",,0,1
Farooq Ahmed,@FarooqA41135612,2021-11-03T20:21:36.000Z,"Farooq Ahmed
@FarooqA41135612
·
1m
Replying to 
@shoaib100mph
Such a shameful victory for india match is #fixed no respect  but victory is victory no problem if you want to meet again in final we will defeat you again #5-2
1
1",1,0,1
Sarah Smith,@SarahSm98926003,2021-11-03T20:21:36.000Z,"Sarah Smith
@SarahSm98926003
·
1m
Replying to 
@itzyungtk
 and 
@snapchatsupport
Getting your account fixed is an easy task. Contact _cyberspyhackerr on Instagram, he’s gonna help you out. He was so helpful. I had issues too",,0,
Dil Faroz,@Dilfaroz882,2021-11-03T20:21:36.000Z,"Dil Faroz
@Dilfaroz882
·
1m
#fixed",,0,
Samarth Oza,@SamarthOza711,2021-11-03T20:21:36.000Z,"Samarth Oza
@SamarthOza711
·
1m
Pakistani fans nullifying their own team's efforts and results by claiming that everything is fixed is peak Pakistan
#T20WorldCup #ind",,0,
Maarij,@Mareeeeeeech,2021-11-03T20:21:35.000Z,"Maarij
@Mareeeeeeech
·
1m
India fixed another one :-) #NotSurprised",,0,
SaلMan____,@SalmanOffical90,2021-11-03T20:21:34.000Z,"SaلMan____
@SalmanOffical90
·
1m
Retirement after a close match against pakistan. Aj to suicide krna bnta hai phr
@asgharafghan8
#fixed
1",,0,1
Zaid Jasval,@ZJasval,2021-11-03T20:21:32.000Z,"Zaid Jasval
@ZJasval
·
1m
#INDvsAFGfixed 
toss was also fixed.
210 India made R.R +ve.
Taliban should take action against.",,0,
سید بلاول,@bui_s09,2021-11-03T20:21:28.000Z,"سید بلاول
@bui_s09
·
2m
Replying to 
@MdAsifEqbal16
Jaa ke tere #Abba Pakistan se pouch naah  #WELLPAIDINDIA 
#fixed 
#indiancricket 
#IndiaVsAfgFIXED
1",,0,1
Jay,@jasonjdmha,2021-11-03T20:21:27.000Z,"Jay
@jasonjdmha
·
2m
Replying to 
@ProjectLincoln
 and 
@GlennYoungkin
The Lincoln Cowards. Fixed it.",,0,
Usman Khan,@OsmanKh905,2021-11-03T20:21:27.000Z,"Usman Khan
@OsmanKh905
·
2m
Fixed ",,0,
Rais Khalil,@rais_khalil1,2021-11-03T20:21:26.000Z,"Rais Khalil
@rais_khalil1
·
2m
Replying to 
@hardikpandya7
Match was fixed,  black day for Cricket
Shame on icc",,0,
شاپر,@Desperate_Niga,2021-11-03T20:21:26.000Z,"شاپر
@Desperate_Niga
·
2m
This is 2nd most costly trade ever

First one is still Mig-29 for a cup of tea 

#fixed #WELLPAIDINDIA
1",,0,1
Wafa Ali Malik,@Wafa_ali_malik,2021-11-03T20:21:25.000Z,"Wafa Ali Malik
@Wafa_ali_malik
·
2m
انڈیا کو ورلڈ کپ میں رہنے کے لیے 63 رنز سے جیتنا تھا۔ اس لیئے ٹاس جیت کر بھی افغانستان نے بھارت کو بیٹنگ دی تا کہ بڑا ٹوٹل بنے اور کم از کم اس مارجن کے تحت ہی ہم ہار جائیں۔ اور پھر 66 رنز سے ہار کے فرض پورا کردیا۔
#fixed #fixerkings #fixedmatch #fixing #INDvsAFG #WELLPAIDINDIA
میرا خیال ٹھیک ہے؟
میرا خیال غلط ہے؟
6 votes
·
6 days left
1
2",,0,2
mohammad iqbal,@xikbal,2021-11-03T20:21:25.000Z,"mohammad iqbal
@xikbal
·
2m
#fixed",,0,
Waqar Ahmad,@wvickey014,2021-11-03T20:21:24.000Z,"Waqar Ahmad
@wvickey014
·
2m
#fixed",,0,
شمائل,@Shumail33267230,2021-11-03T20:21:23.000Z,"شمائل
@Shumail33267230
·
2m
Replying to 
@khusru007
 @ArslanZaki18
 and 
@BCCI
Dimagh tumhara khrb http://hai.Hm manty Hain k hmari team pehly acha perform nhi kr rhi thi. But Tum log b such ka samna krna sekho.fixed match tha ye. Baqi matches Mai Afghani team ki aggressiveness Dekho. Or yahn poor performance dekho. Aina dikhaya to bura man gaye.",,0,
ghazanfar ali,@AliNscarnot,2021-11-03T20:21:23.000Z,"ghazanfar ali
@AliNscarnot
·
2m
Replying to 
@BBCUrdu
It was a fixed match",,0,
affposts,@affposts,2021-11-03T20:21:22.000Z,"affposts
@affposts
·
2m
fixed debt which uses your vehicle notion as promise to safe the loan. Tag Pawns occur http://affpo.st/76921",,0,
Ali Asmat,@AliAliasmat381,2021-11-03T20:21:21.000Z,"Ali Asmat
@AliAliasmat381
·
2m
Fixed Match .  #fixedmatch #INDvsAFG",,0,
Young Veteran,@YoungVeteran89,2021-11-03T20:21:19.000Z,"Young Veteran
@YoungVeteran89
·
2m
Afghanistan
vs
Afghanitan

#fixed 
#matchfixed 
#INDvsAFG 
#indiancricket 
#IndiavsAfghanistan 
#IndiaVsAfgFIXED
#IndvAfg 
#Afghanistan 
#ICCT20WorldCup2021 
#T20WorldCup21",,0,
kirsten queen,@queenkiz,2021-11-03T20:21:17.000Z,"kirsten queen
@queenkiz
·
2m
Replying to 
@annamelissa
Lol told my parents I was depressed and they sent me to a Christian counselor. After one session I was “fixed”.",,0,
Go 999,@coowidit02,2021-11-03T20:21:13.000Z,"Go 999
@coowidit02
·
2m
Replying to 
@DazHey1
 and 
@AskPlayStation
Did you end up getting this fixed?",,0,
Anik,@anik264810,2021-11-03T20:21:13.000Z,"Anik
@anik264810
·
2m
Replying to 
@notjugghead
No its fixed",,0,
Taaa,@TahaBaloch,2021-11-03T20:21:12.000Z,"Taaa
@TahaBaloch
·
2m
I thought #India is a big team.
 They had to fix a match to win against #Afghanistan HAHAHA. #fixed #IndiavsAfghanistan",,0,
Azhar Thiraj,@AzharThiraj,2021-11-03T20:21:12.000Z,"Azhar Thiraj
@AzharThiraj
·
2m
All cricket fans should digest India's victory. The Indian team has also gone to play. #TeamIndia did not go to Dubai to sell Chicks. calm down and watch ahead 
#INDvsAFG #Fixed #Fixing #FixedMatch #T20WorldCup",,0,
Faraz Ali Ujan,@farazaliujan,2021-11-03T20:21:10.000Z,"Faraz Ali Ujan
@farazaliujan
·
2m
Shame on you both Teams Afghanistan and India.
#India #Afghanistan #INDvsAFG #indiancricket #fixerkings #ICCT20WorldCup2021 #IndianCricketTeam #NamakHaram #shameindia #fixedmatch #fixed",,0,
Shakir,@Shakiratk1980,2021-11-03T20:21:09.000Z,"Shakir
@Shakiratk1980
·
2m
Replying to 
@basitms007
 and 
@ImSaeedAnwar
Fixed match",,0,
Dr Samina Naz,@SNaz979,2021-11-03T20:21:08.000Z,"Dr Samina Naz
@SNaz979
·
2m
Replying to 
@saher_shabnam
 and 
@ArifRetd
Aur hum bhai chara ke chakkar me thay. 
Bilkul fixed thi.
1",,0,1
Shaniya,@iShaniya,2021-11-03T20:21:08.000Z,"Shaniya
@iShaniya
·
2m
Join me on my webinar tonight and we can get your credit fixed...now the blood pressure will be in a separate conversation. Both ways you win 
John Smith
@TeachJTeach
 · 2h
Leaving a toxic relationship can raise your credit score and lower your blood pressure.",,0,
ZarOon..,@IbtiSamAkhtar2,2021-11-03T20:21:08.000Z,"ZarOon..
@IbtiSamAkhtar2
·
2m
Replying to 
@ACBofficials
Afghanistan has successfully qualified for the IPL

#INDvsAFG #Fixed
1",,0,1
Λ PAИDĪŦ,@A_pandit_,2021-11-03T20:21:08.000Z,"Λ PAИDĪŦ
@A_pandit_
·
2m
When India can fix a match in a ICC tournament then why pakistan playing there. How the hell they think they can win the trophy. 
#fixed #fixedmatch #INDvsAFG",,0,
Shuja_Wafa_Talab,@ShujaTalab,2021-11-03T20:21:07.000Z,"Shuja_Wafa_Talab
@ShujaTalab
·
2m
#fixed #indiancricket #sham_afghanistan 
#sham_india 
#uwillbowlfirst
#shamvirat 
#Shame",,0,
Afsheen Baloch,@AfsheenBaloch2,2021-11-03T20:21:00.000Z,"Afsheen Baloch
@AfsheenBaloch2
·
2m
AfgAfghan players cried when they lost to Pakistan & smiling when they lost to India. 
Any logic fixed ۔۔۔

#Afghanistan #AFGVSIND #fixing #fixed #Shame #RashidKhan #indiancricket #fixed
2",,0,2
༺ʍɛɦǟʀ ʍǟɦ༻,@Itx_mah00,2021-11-03T20:20:58.000Z,"༺ʍɛɦǟʀ ʍǟɦ༻
@Itx_mah00
·
2m
Replying to 
@AmbreenPTI1
Fixed ",,0,
Saif_Qureshi07,@SaifQureshi_07,2021-11-03T20:20:58.000Z,"Saif_Qureshi07
@SaifQureshi_07
·
2m
Replying to 
@ACBofficials
#fixed",,0,
Talha,@Talha258042012,2021-11-03T20:20:57.000Z,"Talha
@Talha258042012
·
2m
#fixed Afghanistan India match",,0,
Hourly – Insurance & Payroll,@go_hourly,2021-11-03T20:20:56.000Z,"Hourly – Insurance & Payroll
@go_hourly
·
2m
Replying to 
@DanBiggerUSAMfg
 @Mobileshopco
 and 13 others
I put a word in with the guy in charge of the hole, he says it will be fixed by noon on Sunday 
1",,0,1
Akrum66,@Akrum662,2021-11-03T20:20:56.000Z,"Akrum66
@Akrum662
·
2m
India was not able to make one boundary:4 runs in 5 overs against New Zealand, but in this fixed match, they made 3-4 boundaries in each over
Think UK,Australia,Pakistan,SA,Bangladesh,Namibia,WI... https://youtu.be/etYTfkXrawQ via 
@YouTube
youtube.com
Match fixed tha, India vs Afghanistan ny khail ganda kar dia , Usama...
#INDvsAFG #fixed #RashidKhanMatch fixed tha, India vs Afghanistan ny khail ganda kar dia , Usama Ghazi sabot ly ayeFollow us on Twitter : https://twitter.com...",,0,
Shawn,@Shawn63891652,2021-11-03T20:20:56.000Z,"Shawn
@Shawn63891652
·
2m
never fixed btw. AU and FLS still missing from critics picks, tons of old reviews never put back up, perfect crime inexplicably listed as closing soon.",,0,
Dheeraj Pratap Singh KaushiK,@dheeraj_k19,2021-11-03T20:20:55.000Z,"Dheeraj Pratap Singh KaushiK
@dheeraj_k19
·
2m
#Shameful  #Shame #Cricket #T20WorldCup  
#ICCT20WorldCup #viratkholi #indiancricket 
It is very shameful to heard that virat saying Mhd Nabi To Choose Bowl First after Wining the Toss by Mhd Nabi.
#Afghanistan Cricket Team Has Sold there Imaan For #IPL 
#fixed
ولید بن سعید
@waleedastic
 · 2h
Dear @ICC where are you? Will you please investigate this fixing scandal? Or maybe you are also looking for deep pockets!
#fixed #IndiavsAfghanistan #Shame
0:06
11.3K views
1",,0,1
edwardrieser,@edwardrieser,2021-11-03T20:20:53.000Z,"edwardrieser
@edwardrieser
·
2m
@SharkWe3k
 where do you take a broken pumpkin to get fixed? The pumpkin patch!",,0,
ShAh G,@ShAhG57762686,2021-11-03T20:20:53.000Z,"ShAh G
@ShAhG57762686
·
2m
Hahaha Good hogya....
#fixed #fixing #fixerkings #RashidKhan #Shame #WELLPAIDINDIA #Afghanistan 
#TeamIndia #T20WorldCup21",,0,
Waleed Hamza Siyal,@Waleedcreation0,2021-11-03T20:20:52.000Z,"Waleed Hamza Siyal
@Waleedcreation0
·
2m
Replying to 
@shoaib100mph
Shoaib Bhai Clearly Dikh Raha Fixed Tha #WELLPAIDINDIA
1",1,0,
Antonietta,@antonietta__76_,2021-11-03T20:20:52.000Z,"Antonietta
@antonietta__76_
·
2m
Replying to 
@Huggy008
 and 
@ColinDMello
Friendly reminder covid viral load is higher in unvaccinated than in vaccinated.  Fixed it for you.",,0,
Saif Tariq,@SaifTar48901399,2021-11-03T20:20:52.000Z,"Saif Tariq
@SaifTar48901399
·
2m
Replying to 
@ImranRiazKhan
Just watch the video! Listen carefully!
Kohli is saying to Nabi, you are gona ball 1st!
Fixed Match #fixed",,0,
Saffa S.,@Saffa99375522,2021-11-03T20:20:45.000Z,"Saffa S.
@Saffa99375522
·
3m
Replying to 
@Digital2Sports
101% fixed Match.
Spinners Pitches UAEDown pointing backhand index

Rashid bowled leg side.
Nabi only 1 over.
Body Language
Bad fielding.
Bad bowling.
Not complete spinners
No planning in ground.
No pressure in ground.
Bad Start/Batting.
Easy catches chance provide to India",,0,
tony shaw,@Ajs1464Tony,2021-11-03T20:20:44.000Z,"tony shaw
@Ajs1464Tony
·
3m
Replying to 
@Betracingnation
 and 
@SkySports
I went out of red button and back in again and it seems to have fixed it.
1",,0,1
Ali imran hashmi,@Aliimranhashm12,2021-11-03T20:20:43.000Z,"Ali imran hashmi
@Aliimranhashm12
·
3m
#fixed Well ""Played"" Afghanistan but whot was that behaviour 
#fixed #Afghanistan #INDvsAFG #RashidKhan 
1",,0,1
